id,user_id,location_id,duration,start_day,end_day,start_min,end_min,weekday
0,1,2,64.0,0,0,183,248,3
1,1,3,309.0,0,0,272,582,3
2,1,4,899.0,0,1,670,130,3
3,1,5,752.0,4,5,725,38,0
4,1,6,33.0,5,5,38,72,1
5,1,7,127.0,5,5,176,303,1
6,1,8,786.0,11,11,615,1402,0
7,1,6,64.0,12,12,8,73,1
8,1,9,96.0,18,18,111,208,0
9,1,6,36.0,19,19,17,53,1
10,1,3,34.0,20,20,178,212,2
11,1,4,33.0,20,20,229,263,2
12,1,10,246.0,20,20,307,554,2
13,1,4,1296.0,20,21,554,410,2
14,1,3,167.0,21,21,666,833,3
15,1,10,703.0,21,22,851,114,3
16,1,3,114.0,22,22,119,233,4
17,1,4,53.0,22,22,237,290,4
18,1,10,133.0,22,22,290,423,4
19,1,11,186.0,22,22,427,614,4
20,1,4,45.0,22,22,631,677,4
21,1,4,297.0,22,22,678,976,4
22,1,10,514.0,22,23,989,63,4
23,1,3,142.0,23,23,68,210,5
24,1,7,1216.0,24,25,535,311,6
25,1,3,636.0,25,25,317,954,0
26,1,4,60.0,26,26,594,654,1
27,1,12,271.0,26,26,708,980,1
28,1,3,547.0,26,27,980,88,1
29,1,13,588.0,27,27,93,682,2
30,1,4,109.0,27,27,693,803,2
31,1,14,441.0,29,29,249,690,4
32,1,4,853.0,29,30,690,104,4
33,1,3,177.0,30,30,114,292,5
34,1,10,1179.0,39,40,691,431,0
35,1,15,211.0,40,40,440,651,1
36,1,5,319.0,40,40,651,971,1
37,1,10,671.0,40,41,971,203,1
38,1,4,702.0,41,41,209,912,2
39,1,3,1244.0,48,49,482,286,2
40,1,4,448.0,49,49,286,734,3
41,1,3,961.0,49,50,743,265,3
42,1,16,94.0,50,50,284,378,4
43,1,4,212.0,50,50,400,612,4
476,2,55,127.0,0,0,833,961,3
477,2,55,464.0,0,1,983,8,3
478,2,56,172.0,1,1,51,223,4
479,2,56,407.0,1,1,263,671,4
480,2,55,196.0,1,1,851,1047,4
481,2,57,99.0,2,2,62,161,5
482,2,58,98.0,2,2,166,265,5
483,2,55,219.0,2,2,265,484,5
484,2,59,49.0,2,2,703,753,5
485,2,55,57.0,2,2,835,893,5
486,2,57,709.0,2,3,893,162,5
487,2,60,776.0,3,3,641,1418,6
488,2,56,587.0,4,4,52,640,0
489,2,55,744.0,4,5,719,23,0
490,2,56,202.0,5,5,50,253,1
491,2,56,362.0,5,5,259,621,1
492,2,58,37.0,5,5,694,731,1
493,2,55,720.0,5,6,738,19,1
494,2,56,176.0,6,6,48,224,2
495,2,56,329.0,6,6,262,591,2
496,2,55,816.0,6,7,641,17,2
497,2,56,167.0,7,7,48,216,3
498,2,56,373.0,7,7,250,623,3
499,2,55,752.0,7,8,702,15,3
500,2,56,183.0,8,8,43,227,4
501,2,61,370.0,8,8,266,637,4
502,2,55,815.0,8,9,686,61,4
503,2,55,68.0,9,9,589,657,5
504,2,55,323.0,9,9,694,1017,5
505,2,55,736.0,10,11,718,15,6
506,2,56,161.0,11,11,54,216,0
507,2,56,376.0,11,11,246,623,0
508,2,55,158.0,11,11,695,853,0
509,2,62,627.0,11,12,853,40,0
510,2,56,169.0,12,12,46,216,1
511,2,56,424.0,12,12,255,680,1
512,2,55,714.0,12,13,752,27,1
513,2,63,181.0,13,13,42,224,2
514,2,56,1196.0,13,14,257,13,2
515,2,56,168.0,15,15,47,216,4
516,2,56,506.0,15,15,245,751,4
517,2,55,1000.0,15,16,787,347,4
518,2,64,86.0,16,16,373,459,5
519,2,55,79.0,16,16,488,568,5
520,2,55,1049.0,16,17,589,199,5
521,2,55,108.0,17,17,434,542,6
522,2,60,49.0,17,17,661,711,6
