id,user_id,location_id,duration,start_day,end_day,start_min,end_min,weekday
0,1,2,64,0,0,183,248,3
1,1,3,309,0,0,272,582,3
2,1,4,899,0,1,670,130,3
3,1,5,752,4,5,725,38,0
4,1,6,33,5,5,38,72,1
5,1,7,127,5,5,176,303,1
6,1,8,786,11,11,615,1402,0
7,1,6,64,12,12,8,73,1
8,1,9,96,18,18,111,208,0
9,1,6,36,19,19,17,53,1
10,1,3,34,20,20,178,212,2
11,1,4,33,20,20,229,263,2
12,1,10,246,20,20,307,554,2
13,1,4,1296,20,21,554,410,2
14,1,3,167,21,21,666,833,3
15,1,10,703,21,22,851,114,3
16,1,3,114,22,22,119,233,4
17,1,4,53,22,22,237,290,4
18,1,10,133,22,22,290,423,4
19,1,11,186,22,22,427,614,4
20,1,4,45,22,22,631,677,4
21,1,4,297,22,22,678,976,4
22,1,10,514,22,23,989,63,4
23,1,3,142,23,23,68,210,5
24,1,7,1216,24,25,535,311,6
25,1,3,636,25,25,317,954,0
26,1,4,60,26,26,594,654,1
27,1,12,271,26,26,708,980,1
28,1,3,547,26,27,980,88,1
29,1,13,588,27,27,93,682,2
30,1,4,109,27,27,693,803,2
31,1,14,441,29,29,249,690,4
32,1,4,853,29,30,690,104,4
33,1,3,177,30,30,114,292,5
34,1,10,1179,39,40,691,431,0
35,1,15,211,40,40,440,651,1
36,1,5,319,40,40,651,971,1
37,1,10,671,40,41,971,203,1
38,1,4,702,41,41,209,912,2
39,1,3,1244,48,49,482,286,2
40,1,4,448,49,49,286,734,3
41,1,3,961,49,50,743,265,3
42,1,16,94,50,50,284,378,4
43,1,4,212,50,50,400,612,4
44,1,10,162,158,158,64,227,0
45,1,1,74,158,158,243,318,0
46,1,17,199,158,158,380,580,0
47,1,17,337,158,158,618,956,0
48,1,18,512,158,159,966,39,0
49,1,1,32,159,159,73,105,1
50,1,17,124,159,159,107,231,1
51,1,17,267,159,159,269,537,1
52,1,19,1156,159,160,589,306,1
53,1,17,216,160,160,323,539,2
54,1,10,41,160,160,582,624,2
55,1,17,593,160,160,630,1223,2
56,1,10,584,160,161,1223,367,2
57,1,17,216,161,161,367,584,3
58,1,1,68,161,161,624,692,3
59,1,10,204,161,161,712,917,3
60,1,17,579,161,162,937,76,3
61,1,10,160,162,162,88,249,4
62,1,20,66,162,162,249,316,4
63,1,17,106,162,162,360,466,4
64,1,18,40,162,162,627,668,4
65,1,18,1077,162,163,770,407,4
66,1,1,33,163,163,467,501,5
67,1,1,52,163,163,629,682,5
68,1,21,40,163,163,682,723,5
69,1,18,918,163,164,843,322,5
70,1,1,59,164,164,504,564,6
71,1,1,80,164,164,605,686,6
72,1,18,764,164,165,832,157,6
73,1,1,44,165,165,228,273,0
74,1,10,60,165,165,357,418,0
75,1,17,59,165,165,424,483,0
76,1,22,98,165,165,489,588,0
77,1,22,45,165,165,594,639,0
78,1,4,463,168,169,1117,141,3
79,1,17,309,169,169,146,455,4
80,1,23,250,169,169,535,786,4
81,1,17,182,169,169,843,1025,4
82,1,4,735,169,170,1031,327,4
83,1,17,56,170,170,384,441,5
84,1,23,264,170,170,522,786,5
85,1,17,184,170,170,852,1036,5
86,1,4,447,170,171,1043,51,5
87,1,17,396,171,171,57,454,6
88,1,23,259,171,171,526,786,6
89,1,17,186,171,171,850,1036,6
90,1,4,706,171,172,1043,310,6
91,1,17,99,172,172,355,454,0
92,1,23,263,172,172,522,786,0
93,1,17,39,172,172,848,888,0
94,1,4,408,172,172,893,1302,0
95,1,23,351,172,173,1371,283,0
96,1,17,229,173,173,365,595,1
97,1,9,50,173,173,691,741,1
98,1,24,640,173,174,814,15,1
99,1,25,436,174,174,24,460,2
100,1,26,51,174,174,502,553,2
101,1,17,31,174,174,568,600,2
102,1,17,827,174,175,639,27,2
103,1,27,226,175,175,29,255,3
104,1,28,132,175,175,320,453,3
105,1,17,50,175,175,469,520,3
106,1,1,80,175,175,530,611,3
107,1,10,84,175,175,612,697,3
108,1,17,229,175,175,702,931,3
109,1,10,529,175,176,942,31,3
110,1,1,226,176,176,37,264,4
111,1,17,253,176,176,313,566,4
112,1,18,441,177,178,1053,54,5
113,1,9,47,178,178,74,122,6
114,1,1,39,178,178,246,285,6
115,1,1,319,178,178,294,613,6
116,1,26,50,178,178,659,710,6
117,1,17,347,178,178,730,1077,6
118,1,10,453,178,179,1088,102,6
